,name,description,address,latitude,longitude,contactPhone,contactEmail,imageUrl,adminId,walkingDistance,offersDelivery,openingHours,specialNotes
0,Academy of Hope,,2315 18th Pl NE Washington DC 20018,38.920754099999996,-76.97773896031546,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zsaofQv-7jZtKg_bql4jNg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=199.85551&pitch=0&thumbfov=100,1,5.224782938076994,False,"                             open  close
4th Wednesday of the month  12:00  14:00",
1,Ambassador Baptist Church,Pre-bagged or boxed groceries,1408 Minnesota Ave SE Washington DC 20020,38.86692085,-76.98435930693273,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RWLR5m6C-aSu7qXffabUHw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=322.68747&pitch=0&thumbfov=100,1,8.844747774702169,False,"                                    open  close
2nd and 4th Saturday of the month  08:00  10:00",Full Choice
2,Brotherhood of the Cross and Star,Loose groceries,6001 Georgia Ave NW Washington DC 20011,38.96311585,-77.02742029994576,,,https://lh3.googleusercontent.com/p/AF1QipNpqTcO0Pdm0SpiOtUmuNxtOxOuD4yiQ_67vqx5=w408-h272-k-no,1,5.152401078365668,False,"                          open  close
3rd Friday of the month  09:00  11:00",Full Choice
3,SeVerna,,43 K St NW Washington DC 20001,38.90285,-77.01162,,,https://lh3.googleusercontent.com/p/AF1QipO2DBNCwL5fzaPQXBEvHuwqnsdx4xjf6ltIFnnf=w618-h240-k-no,1,7.193458464120571,False,"                             open  close
3rd Wednesday of the month  10:00  12:00",
4,Lederer Gardens,Pre-bagged or boxed groceries,4801 Nannie Helen Burroughs Ave NE Washington DC 20019,38.89850345,-76.93355053318584,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RWLR5m6C-aSu7qXffabUHw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=322.68747&pitch=0&thumbfov=100,1,6.305279692406402,False,"                             open  close
2nd Wednesday of the month  11:00  12:00",Full Choice
5,Faith United Church of Christ,,4900 10th St NE Washington DC 20017,38.9485524,-76.99303636157066,,,https://lh3.googleusercontent.com/p/AF1QipOgEUYt0SW_ux03yG2RLgtHjYi32kz_8tuVpSwN=w408-h306-k-no,1,4.109464149196448,False,"                            open  close
3rd Thursday of the month  09:00  12:00",
6,Frederick Douglass Community Center,,2000 Alabama Ave SE Washington DC 20020,38.8508138,-76.97583215704627,,,https://lh3.googleusercontent.com/p/AF1QipO2DBNCwL5fzaPQXBEvHuwqnsdx4xjf6ltIFnnf=w618-h240-k-no,1,9.811588326886799,False,"                            open  close
2nd Thursday of the month  10:00  13:00",
7,Congress Heights Family Success Center,Pre-bagged or boxed groceries,1345 Savannah St SE  Washington DC 20032,38.84358400000001,-76.98637529061871,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RWLR5m6C-aSu7qXffabUHw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=322.68747&pitch=0&thumbfov=100,1,10.42801559656551,False,"                          open  close
3rd Monday of the month  11:00  14:00",Full Choice
8,Garfield Terrace Resident Council,,2301 11th St NW Washington DC 20001,38.921517800000004,-77.02581545665099,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RWLR5m6C-aSu7qXffabUHw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=322.68747&pitch=0&thumbfov=100,1,6.6751322940936655,False,"                             open  close
4th Wednesday of the month  09:00  12:00",
9,James Apartments Resident Council,,1425 N St NW Washington DC 20005,38.907476450000004,-77.03310470756122,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zsaofQv-7jZtKg_bql4jNg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=199.85551&pitch=0&thumbfov=100,1,7.6486890174560065,False,"                          open  close
1st Monday of the month  15:00  17:00",
