External ID,Name,Status,Last SO Create Date,Agency Region,County/Ward,Shipping Address,Phone,Day of Week,Monthly Options,Starting Time,Ending Time,By Appointment Only,Food Pantry Requirements,Date of Last Verification,Distribution Models,Food Format ,Additional Note on Hours of Operations
19079-PART-02,Children of Mine : Children of Mine,Active,1/21/2025,DC,DC Ward 8,"gloria ward-ravenell 2263 mount view place, se washington DC 20020",(202) 374-6029,Tuesday,2nd and 4th of the Month,8:00 AM,10:00 AM,No,,10/2/2024,,,
14265-PART-01,St. Martins Social Service : St. Martins Social Service,Active,1/3/2025,DC,DC Ward 5,Attn: St. Martin's Social Service 1908 North Capitol Street NW Washington DC 20002,(202) 232-1144,Wednesday,Every week,10:00 AM,11:30 AM,No,,10/7/2024,,,walkups
18786-PART-01,Bethesda Cares : Bethesda Cares,Active,11/21/2024,MD,MD Montgomery County,Attn: Bethesda Cares 5033 Wilson Lane Bethesda MD 20814,(301) 907-9244,Monday,Every week,11:00 AM,1:00 PM,No,,10/21/2024,,,walk-ins hotmeals
18786-PART-01,Bethesda Cares : Bethesda Cares,Active,11/21/2024,MD,MD Montgomery County,Attn: Bethesda Cares 5033 Wilson Lane Bethesda MD 20814,(301) 907-9244,Tuesday,Every week,11:00 AM,1:00 PM,No,,10/21/2024,,,walk-ins hotmeals
18786-PART-01,Bethesda Cares : Bethesda Cares,Active,11/21/2024,MD,MD Montgomery County,Attn: Bethesda Cares 5033 Wilson Lane Bethesda MD 20814,(301) 907-9244,Wednesday,Every week,11:00 AM,1:00 PM,No,,10/21/2024,,,walk in hot meals
18786-PART-01,Bethesda Cares : Bethesda Cares,Active,11/21/2024,MD,MD Montgomery County,Attn: Bethesda Cares 5033 Wilson Lane Bethesda MD 20814,(301) 907-9244,Thursday,Every week,11:00 AM,1:00 PM,No,,10/21/2024,,,walk in hot meals
18786-PART-01,Bethesda Cares : Bethesda Cares,Active,11/21/2024,MD,MD Montgomery County,Attn: Bethesda Cares 5033 Wilson Lane Bethesda MD 20814,(301) 907-9244,Friday,Every week,11:00 AM,1:00 PM,No,,10/21/2024,,,walk ins hot meals give meals for Saturday on Fridays
19656-PART-01,"Brookland Senior Day Care Center, Inc. : Brookland Senior Day Care Center, Inc.",Active,2/26/2025,DC,DC Ward 4,"Attn: Brookland Senior Day Care Center, Inc. 6210 Chillum Place NW Washington DC 20011",(302) 538-0813,Tuesday,Every week,12:30 PM,1:30 PM,No,,10/3/2024,,Prepared meals,
19753-PART-01,City of David Ministries : City of David Ministries,Active,2/4/2025,MD,MD Prince George's County,Attn: City of David Ministries 2900 Boones Lane District Heights MD 20747,(301) 200-2489,Saturday,3rd of the Month,8:00 AM,3:00 PM,Yes,ID,11/19/2024,,Pre-bagged or boxed groceries,
19753-PART-01,City of David Ministries : City of David Ministries,Active,2/4/2025,MD,MD Prince George's County,Attn: City of David Ministries 2900 Boones Lane District Heights MD 20747,(301) 200-2489,Saturday,4th of the Month,10:00 AM,2:00 PM,Yes,ID,11/19/2024,Home Delivery,,
16185-PART-01,City of Greenbelt Food Pantry : City of Greenbelt Food Pantry,Active,2/13/2025,MD,MD Prince George's County,Attn: City of Greenbelt Food Pantry 25 Crescent Rd Greenbelt MD 20770,(240) 542-2012,Thursday,3rd of the Month,1:00 PM,3:00 PM,No,,10/3/2024,,,
19426-PART-01,Fountain Community Enrichment Inc : Fountain Community Enrichment Inc.,Active,2/11/2025,MD,MD Prince George's County,Attn: Fountain Community Enrichment Inc. 15853 Commerce Court Upper Marlboro MD 20774,(301) 335-5038,Friday,3rd of the Month,11:00 AM,2:00 PM,No,"ID,Income",10/2/2024,Drive thru,Pre-bagged or boxed groceries,
